starting worker pid=36416 on localhost:11537 at 16:58:23.299
starting worker pid=36417 on localhost:11537 at 16:58:23.314
ID: SON2_001_Nalt RUN: 1 ,already exists, to re-run, remove the directory.
ID: SON2_001_Nalt RUN: 2 ,already exists, to re-run, remove the directory.
ID: SON2_001_Plac RUN: 1 ,already exists, to re-run, remove the directory.
ID: SON2_001_Plac RUN: 2 ,already exists, to re-run, remove the directory.
ID: SON2_003_Plac RUN: 1 ,already exists, to re-run, remove the directory.
ID: SON2_003_Plac RUN: 2 ,already exists, to re-run, remove the directory.
ID: SON2_004_Nalt RUN: 1 ,already exists, to re-run, remove the directory.
ID: SON2_004_Nalt RUN: 2 ,already exists, to re-run, remove the directory.
ID: SON2_004_Plac RUN: 1 ,already exists, to re-run, remove the directory.
ID: SON2_004_Plac RUN: 2 ,already exists, to re-run, remove the directory.
ID: SON2_005_Nalt RUN: 1 ,already exists, to re-run, remove the directory.
ID: SON2_005_Nalt RUN: 2 ,already exists, to re-run, remove the directory.
ID: SON2_005_Plac RUN: 1 ,already exists, to re-run, remove the directory.
ID: SON2_005_Plac RUN: 2 ,already exists, to re-run, remove the directory.
ID: SON2_006_Nalt RUN: 1 ,already exists, to re-run, remove the directory.
ID: SON2_006_Nalt RUN: 2 ,already exists, to re-run, remove the directory.
ID: SON2_006_Plac RUN: 1 ,already exists, to re-run, remove the directory.
ID: SON2_006_Plac RUN: 2 ,already exists, to re-run, remove the directory.
ID: SON2_008_Nalt RUN: 1 ,already exists, to re-run, remove the directory.
ID: SON2_008_Nalt RUN: 2 ,already exists, to re-run, remove the directory.
ID: SON2_008_Plac RUN: 1 ,already exists, to re-run, remove the directory.
ID: SON2_008_Plac RUN: 2 ,already exists, to re-run, remove the directory.
ID: SON2_009_Nalt RUN: 1 ,already exists, to re-run, remove the directory.
ID: SON2_009_Nalt RUN: 2 ,already exists, to re-run, remove the directory.
ID: SON2_009_Plac RUN: 1 ,already exists, to re-run, remove the directory.
ID: SON2_009_Plac RUN: 2 ,already exists, to re-run, remove the directory.
ID: SON2_010_Plac RUN: 1 ,already exists, to re-run, remove the directory.
ID: SON2_010_Plac RUN: 2 ,already exists, to re-run, remove the directory.
ID: SON2_011_Nalt RUN: 1 ,already exists, to re-run, remove the directory.
ID: SON2_011_Nalt RUN: 2 ,already exists, to re-run, remove the directory.
